name,latitude,longitude,rating,addr,photo
Deir el-Bahari,25.7372608,32.6077347,4.7,Egyptian Environmental Affairs Agency قسم الواحات الخارجة,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q5rb7yJyyjDR-Asv6azHfKPhNXa04o7DwlyECIVkgMtDs6SmxjO9tC7cz01YOh5QPdWGmWsBJB1RssF2yll0xa9B3vIIxvR3N5i7VbHvq7SQgRWbz2wGpJ65B0Zl376TcDLVrxwGNVkxIAVNKBC3RrSqpHbJWXLjIuzmQv3ujM_C3ms&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Mut Temple,25.7116622,32.6552125,4.4,PM64+M38 Road Lead to Al Oksor Karnak Luxor,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q7VMIXFrhiwuVQIkpmvqLFGgvxHZlZH2GOklfx2W7TOWxcMQzBbDM7LwTshYv9Zh5dXUfIx2bmyhpdBEW8zyr0VRWpmunqzEn-JahlByuuBXD_QYVAaDbl0aYIlmAzJ4RumOPeUChxlc5frSspI9jc0-GeINIZqlQ74oUZP96rhwyFu&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Valley of the Kings,25.7401643,32.601411,4.8,Luxor,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q7DJTHGM6ldzWCh-3UipVRa5V67OC0-zWhEDH7mNPBT23WMfhxVhmWouK3d8BmJselz8yUegrv88Xb6IRJz0Su09qw6WX_fPcxPnNAgTlFaoz2a_BObrdn2W_wybDlVcVkV8Wpn3GCT-0vSkiIYw_uGpXOux12MqHpoVNQhJRAkbkpB&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Karnak,25.7104402,32.6489675,4.8,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q67mp2J_KzqpoYAEpp9U-u7tokhxVfafkQGdV4uMuavZsKitEIZZkAgE6zlMR91QribOfES2Gf04wMUmMXBwSUj85mJWQB4e146fr6qLuszOfg2cbDw4EDgnN6drrRrvQC1By7ZUDE9OTgk8UayXQaR_3PFrUTRCMZhSPyQTmasdHoL&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Luxor Temple,25.699502,32.6390509,4.8,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q6ryRKbdqEK3IEmmduhtEH_gHQiGWsaGinHvNBBVYVoGRY2oDmbWE8NGMhixXBQZ62tc8oGDiooHexpRQTNFARfuzUuMAhklYRfmYnD8Wd8gSWSl1dtZzSD-f6H1cedMrJ-bGm7Mv7z5idGA0jqnzyFvBpYd-pfLaCFL4YAVB8ku7pH&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Ramesseum,25.7279952,32.6104602,4.7,Edfo,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q6jdCAAJ9xVOnyI9jlImpiWuai6xXwZCUA0ry8Pn-15tzl6xY32IM-yhawbXeAgO1M-9JURBUnKQVpJVtxtFvT3NeXIapeL6gUinp49NQarPdRgmv1je8N6IQLHxUKArThe_InaeOxCndydQaqVoQwt68iWayL1haUkrnli2MCP3EYv&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Luxor Museum,25.7076132,32.6445491,4.6,Kornish Al Nile,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q6_gLTMLdONMRwRMnb62vZODdPDsIgGG7C2MtWgDE8Qz9rLll920Pl8oTui4Deo9YMR3Rtjm5Rgn-dC5Y7ngE7M_CihtbpGoB-6MagmgHoIJgOjrRPymfIqrdi_n3yqkzIQ90gBcVopfa6UeTOESFv68ETRK82W8eI2C0Z2zMIQ_Y_a&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Magic Horizon Balloons, Luxor,25.68801,32.6323989,4.5,Khaled Ibn Al Walid مركز الأقصر,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q6_No8C4I2Jwlen_ZtBQsdWgifIiUcMj25LCA7ZFRJE1MPl4V1w8HrW03YMRirCwye6xU-GDg2d_2hs6osDnnw5C8o5Fi6QZ9FPlWHSqI8vppb-XZJ9TmxM4gYtXMr40Y9L2jOQE0WTIG0O2QxM7P4qnKQDCykyKqCjCdlyf9AehLOx&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Ramesses III Temple,25.7182846,32.6569872,4.8,PM94+8Q9 Karnak Luxor,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q5eX5deFCb5g72nzVJ4a4a7YT6z-MXlaiXKi9wjArzhNuowFglwb4drR8ltZcSfEUs-1tUSIQB2Wf1dGu8E0d_VJA88LCK9ZeLVd2rns5r6jrJkcvxUXX0QFQ1i1suNkNIPnjJpfr0yrljv1HAX9jf5fKz7b9VeVZ0gTHAU8RssNIn_&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Colossi of Memnon,25.7297467,32.6447001,4.6,مدينة طيبة القديمة ومقبرتها Al Qarnah Luxor,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q4JHDrraoK94Hr04dOLEOTFw8o5s0VkIKvOh4eugkzV7nuNuh5-jT5xVpZFlnnrjEaCj5sjItZiXM-rFAz0BXczmal63mxjvEjCpgqoOta8Qu-EJO3ksVl9uO_trBNWF9Lz2p_4XAFfkcPEvEnRkZm9PZfCcwwIUUmtwSSV71kZdPDj&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Amenhotep III Sun Temple,25.7213169,32.6090728,4.6,PJC5+GJG Al Bairat Luxor,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q4p2w7Rg_4gxzFHH0Dm2ss6rJTVPRoCf5j9Plqsvf9C8NxfwJZfWpQZwWcXO4BtPEMPGdAScDZwJwU8J_p1Ohptw-KdSXail1qbOZWqJzkATFVMJTp7SzYCGXxbkQFs2aRDNcv3QoPs-32PWVS1uGhI-EjAwlr_mMKMBnw5cFl7fCc9&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Valley of the Queens,25.7276584,32.5930858,4.6,PHHV+368 Luxor,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q65V4Mz99J6o7wntuV5N4PBgHZXKbJsB7csGLvi-8E6yOSO8BoTgBjzRpF8yy-1lgTbfmb-EdN00tJVqAC0rxfIo16nN0PRMXJOTCuVjN0cSmn-13VaQc409iRMGIlrHJ9r3l3iBM0v9Q4st-k25a-Y71ZRDOikhHoJAb16sL6S1L-B&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Deir el-Medina,25.728044,32.601425,4.7,PJH2+37 Al Qarna,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q52SFBghckLGX2e1PMXrIZA9sFv8io4kGXBbeINje8ncRj7PyTpIjzqIoea2JD9lDSJcYsHoCC9Ki2laQh41R2FHoyPIrQJoKc84QjOuRPrFwwbpeauJBiJQI8c_VH961gNl0ey5LuWj3r7t7aw9WxzKTXqURfR2sZxvslSFXAXtJG8&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Temple of Khnum,25.2934208,32.5562591,4.6,Egypt,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q5Wy6LL92H6IOde2HyVqjvCHZ4g8eTKMny5ZRD-LG3Ab_zaXVOuizZL5EtZTs6Tb1DV_rx3B9D1uJOa9T1Eq3Ik1hP8t3_Cc1z7a9mObhbsmO8m8oqgUVT_hM_JG2PeH0-ism65edcATSfFad8gw9ymY7W5QfgP920JAGyyV_p7WVlK&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
Mortuary Temple of Seti I,25.7326654,32.6281604,4.6,PJMH+377 Naga Al Taref Inside Road Al Qarnah Al Qarna,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AXCi2Q5nnJTTQA1X_FCo9w7QQImkCFWVn5gv1mH7fMnyJ8Bdp63NVOcs_w3fHpf5spAZt9mXzvGf1MndF3r2jPj75zRoS-LjHrJw37PXPU2sbklg6cLCNJxOZ8r-bHYZfC5Q1lchSxSBUDgX66eMYjcpz_zTP0PkSArriEAKYSea0weQdIqU&key=AIzaSyAWvDjKTWTCoue4jqv-2SkiAPshAx4-2wg
